#Please import the downloaded file into Excel 2007 or above version
Family	Family_type	Sequence_Acc	Domains	Sequence_Annotation
C2H2	transcription factor	Potra2n14c27353.1	IPR007087,IPR013087,IPR015880	protein AED:0.28 eAED:0.28 QI:0|-1|1|1|-1|1|1|0|190
C2H2	transcription factor	Potra2n18c32154.2	IPR001841,IPR019786	protein AED:0.16 eAED:0.16 QI:210|1|1|1|1|1|11|892|486
PHD	chromatin regulator	Potra2n18c32154.2	IPR001841,IPR019786	protein AED:0.16 eAED:0.16 QI:210|1|1|1|1|1|11|892|486
SET	chromatin remodeling	Potra2n14c27312.1	IPR001005,IPR001214	protein AED:0.11 eAED:0.06 QI:81|0.63|0.8|0.9|0.68|0.7|20|962|997
SET	chromatin remodeling	Potra2n14c27312.2	IPR001005,IPR001214	protein AED:0.18 eAED:0.12 QI:0|0.63|0.75|0.9|0.68|0.75|20|514|990
SET	chromatin remodeling	Potra2n14c27312.3	IPR001005,IPR001214	protein AED:0.12 eAED:0.07 QI:0|0.61|0.73|0.89|0.72|0.78|19|962|988
Bromodomain	chromatin remodeler	Potra2n14c27325.1	IPR001487,IPR001680,IPR017986,IPR019775	protein AED:0.10 eAED:0.10 QI:468|0.88|0.92|0.96|0.92|0.88|26|575|1669
WD40-like	transcription factor	Potra2n14c27325.1	IPR001487,IPR001680,IPR017986,IPR019775	protein AED:0.10 eAED:0.10 QI:468|0.88|0.92|0.96|0.92|0.88|26|575|1669
Bromodomain	chromatin remodeler	Potra2n14c27325.2	IPR001487,IPR001680,IPR017986,IPR019775	protein AED:0.09 eAED:0.09 QI:607|0.87|0.92|0.96|0.95|0.92|25|575|1669
WD40-like	transcription factor	Potra2n14c27325.2	IPR001487,IPR001680,IPR017986,IPR019775	protein AED:0.09 eAED:0.09 QI:607|0.87|0.92|0.96|0.95|0.92|25|575|1669
Bromodomain	chromatin remodeler	Potra2n14c27325.3	IPR001487,IPR001680,IPR017986,IPR019775	protein AED:0.11 eAED:0.11 QI:293|0.87|0.92|0.96|0.95|0.92|25|575|1669
WD40-like	transcription factor	Potra2n14c27325.3	IPR001487,IPR001680,IPR017986,IPR019775	protein AED:0.11 eAED:0.11 QI:293|0.87|0.92|0.96|0.95|0.92|25|575|1669
Bromodomain	chromatin remodeler	Potra2n14c27325.5	IPR001487,IPR001680,IPR017986,IPR019775	protein AED:0.08 eAED:0.08 QI:1396|0.91|0.95|0.95|0.95|0.87|24|575|1434
WD40-like	transcription factor	Potra2n14c27325.5	IPR001487,IPR001680,IPR017986,IPR019775	protein AED:0.08 eAED:0.08 QI:1396|0.91|0.95|0.95|0.95|0.87|24|575|1434
Hap3/NF-YB	transcription factor	Potra2n14c27341.1	IPR009072	protein AED:0.24 eAED:0.24 QI:358|0.85|0.87|1|0.42|0.37|8|538|147
Hap3/NF-YB	transcription factor	Potra2n14c27341.2	IPR009072	protein AED:0.21 eAED:0.21 QI:544|0.83|0.85|1|0.5|0.42|7|538|147
Hap3/NF-YB	transcription factor	Potra2n14c27341.3	IPR009072	protein AED:0.22 eAED:0.22 QI:538|1|1|1|0.66|0.57|7|538|129
Hap3/NF-YB	transcription factor	Potra2n14c27341.4	IPR009072	protein AED:0.26 eAED:0.26 QI:249|0.83|0.85|1|0.5|0.42|7|538|147
Hap3/NF-YB	transcription factor	Potra2n14c27341.5	IPR009072	protein AED:0.27 eAED:0.27 QI:249|1|1|1|0.66|0.57|7|538|129
Hap3/NF-YB	transcription factor	Potra2n14c27341.6	IPR009072	protein AED:0.15 eAED:0.15 QI:840|0.8|0.83|1|0.6|0.5|6|538|147
MYB-HB-like	transcription factor	Potra2n14c27343.1	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.24 eAED:0.24 QI:193|1|1|1|1|1|3|371|427
PHD	chromatin regulator	Potra2n14c27340.1	IPR001965,IPR011011,IPR019787	protein AED:0.10 eAED:0.10 QI:263|0.83|0.84|1|0.75|0.61|13|419|1139
PHD	chromatin regulator	Potra2n14c27340.3	IPR001965,IPR011011,IPR019787	protein AED:0.06 eAED:0.06 QI:368|1|1|1|1|1|10|419|1234
WRKY	transcription factor	Potra2n14c27309.1	IPR003657	protein AED:0.08 eAED:0.08 QI:521|1|1|1|1|1|3|732|262
RR-A-type	response regulator and putative novel transcription factor	Potra2n14c27326.1	IPR001789	protein AED:0.29 eAED:0.31 QI:0|0.37|0.23|0.94|0.43|0.47|17|0|2036
RR-A-type	response regulator and putative novel transcription factor	Potra2n14c27326.2	IPR001789	protein AED:0.19 eAED:0.20 QI:0|0.56|0.47|0.94|0.37|0.35|17|4764|1413
RR-A-type	response regulator and putative novel transcription factor	Potra2n14c27326.3	IPR001789	protein AED:0.27 eAED:0.29 QI:0|0.42|0.33|0.93|0.42|0.4|15|353|2091
RR-A-type	response regulator and putative novel transcription factor	Potra2n14c27326.4	IPR001789	protein AED:0.30 eAED:0.31 QI:0|0.58|0.46|0.92|0.5|0.38|13|353|1815
RR-A-type	response regulator and putative novel transcription factor	Potra2n14c27326.5	IPR001789	protein AED:0.30 eAED:0.31 QI:0|0.5|0.46|0.92|0.41|0.38|13|353|1778
RR-A-type	response regulator and putative novel transcription factor	Potra2n14c27326.6	IPR001789	protein AED:0.31 eAED:0.31 QI:0|0.58|0.38|0.92|0.5|0.38|13|353|1726
bZIP	transcription factor	Potra2n14c27320.1	IPR004827,IPR011616,IPR011700	protein AED:0.39 eAED:0.39 QI:0|-1|1|1|-1|1|1|14|139
C2H2	transcription factor	Potra2n14c27416.1	IPR001841,IPR017907	protein AED:0.13 eAED:0.11 QI:465|0.28|0.37|1|0.71|0.75|8|764|421
C2H2	transcription factor	Potra2n14c27416.2	IPR001841,IPR017907,IPR018957	protein AED:0.14 eAED:0.13 QI:465|0.5|0.57|1|1|1|7|764|384
WD40-like	transcription factor	Potra2n18c32151.1	IPR001680,IPR017986	protein AED:0.23 eAED:0.23 QI:293|1|1|1|0.95|0.90|21|200|1346
WD40-like	transcription factor	Potra2n18c32151.2	IPR001680,IPR017986	protein AED:0.22 eAED:0.22 QI:293|1|1|1|1|1|20|461|1346
WD40-like	transcription factor	Potra2n14c27419.1	IPR001680,IPR015943,IPR017986	protein AED:0.33 eAED:0.32 QI:176|0.85|0.87|1|0.85|0.75|8|385|391
C2H2	transcription factor	Potra2n14c27438.2	IPR013087	protein AED:0.44 eAED:0.40 QI:199|0.4|0.33|0.83|0.6|0.5|6|0|393
CW-Zn	putative transcription factor & chromatin remodeling	Potra2n14c27441.1	IPR011124	protein AED:0.03 eAED:0.03 QI:522|1|1|1|0.90|0.91|12|1356|1667
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n18c32168.1	IPR003656,IPR012337	protein AED:0.26 eAED:0.26 QI:831|1|1|1|0|0.5|2|552|666
WD40-like	transcription factor	Potra2n14c27434.1	IPR001680,IPR015943,IPR017986	protein AED:0.25 eAED:0.25 QI:128|1|1|1|0.75|0.6|5|401|464
WD40-like	transcription factor	Potra2n14c27434.2	IPR001680,IPR015943,IPR017986	protein AED:0.21 eAED:0.21 QI:128|1|1|1|1|1|4|671|464
WD40-like	transcription factor	Potra2n14c27434.3	IPR001680,IPR017986	protein AED:0.26 eAED:0.26 QI:128|0.66|1|1|0.66|0.75|4|387|436
Hap3/NF-YB	transcription factor	Potra2n14c27437.1	IPR003956,IPR003958,IPR009072	protein AED:0.25 eAED:0.25 QI:0|-1|0|1|-1|1|1|0|177
Homobox-WOX	transcription factor	Potra2n14c27440.1	IPR001356,IPR009057	protein AED:0.26 eAED:0.26 QI:0|0.75|0.69|1|0.58|0.61|13|337|1162
Homobox-WOX	transcription factor	Potra2n14c27440.2	IPR001356,IPR009057	protein AED:0.26 eAED:0.26 QI:0|0.90|0.83|1|0.63|0.66|12|337|1145
FHA-SMAD	transcription factor interactor and regulator	Potra2n14c27423.1	IPR008984	protein AED:0.27 eAED:0.27 QI:218|0.81|0.85|1|0.96|0.96|28|371|1153
MYB-HB-like	transcription factor	Potra2n18c32158.1	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.28 eAED:0.28 QI:100|1|1|1|1|1|3|349|230
C2H2	transcription factor	Potra2n14c27458.2	IPR001841,IPR018957	protein AED:0.20 eAED:0.20 QI:1300|1|1|1|0.5|0.69|13|657|136
C2H2	transcription factor	Potra2n14c27458.3	IPR001841,IPR018957	protein AED:0.06 eAED:0.06 QI:1300|1|1|1|0.45|0.58|12|1822|136
C2H2	transcription factor	Potra2n14c27458.5	IPR001841	protein AED:0.19 eAED:0.19 QI:1300|1|1|1|0.45|0.58|12|887|92
C2H2	transcription factor	Potra2n14c27458.7	IPR001841,IPR018957	protein AED:0.32 eAED:0.32 QI:207|0.90|0.91|1|0.63|0.83|12|307|314
C2H2	transcription factor	Potra2n14c27458.8	IPR001841,IPR018957	protein AED:0.05 eAED:0.05 QI:1503|1|1|1|0.4|0.54|11|1822|94
C2H2	transcription factor	Potra2n14c27458.9	IPR001841,IPR018957	protein AED:0.22 eAED:0.22 QI:1420|0.88|0.9|1|0.66|0.8|10|307|164
BED-type(Zn)	transcription factor/ chromatin remodeling	Potra2n18c32169.1	IPR003656,IPR012337	protein AED:0.35 eAED:0.35 QI:0|-1|0|1|-1|1|1|0|716
ARF	transcription factor	Potra2n14c27465.1	IPR003340,IPR010525,IPR011525	protein AED:0.18 eAED:0.18 QI:810|1|1|1|0.78|0.73|15|827|728
ARF	transcription factor	Potra2n14c27465.2	IPR003340,IPR010525,IPR011525	protein AED:0.21 eAED:0.21 QI:409|1|1|1|0.78|0.73|15|827|728
ARF	transcription factor	Potra2n14c27465.3	IPR003340,IPR010525,IPR011525	protein AED:0.19 eAED:0.19 QI:810|0.92|0.92|1|0.76|0.78|14|827|696
C2C2-CO-like	transcription factor	Potra2n14c27459.1	IPR000315,IPR010402	protein AED:0.25 eAED:0.25 QI:0|0.66|0.75|1|0.66|0.75|4|193|326
C2C2-CO-like	transcription factor	Potra2n14c27459.3	IPR010402	protein AED:0.39 eAED:0.39 QI:0|0.66|0.75|0.75|0.66|0.75|4|193|119
C2C2-CO-like	transcription factor	Potra2n14c27459.4	IPR010402	protein AED:0.33 eAED:0.33 QI:0|0.5|0.66|0.66|1|1|3|460|119
CW-Zn	putative transcription factor & chromatin remodeling	Potra2n14c27493.1	IPR011124	protein AED:0.12 eAED:0.12 QI:291|1|1|1|1|1|2|854|182
WD40-like	transcription factor	Potra2n14c27482.1	IPR001680,IPR017986	protein AED:0.23 eAED:0.21 QI:315|0.81|0.91|0.91|0.81|0.75|12|625|508
WD40-like	transcription factor	Potra2n14c27490.2	IPR001680,IPR017986	protein AED:0.26 eAED:0.26 QI:2451|0.66|1|1|0.66|0.42|7|0|179
WD40-like	transcription factor	Potra2n14c27490.3	IPR001680,IPR017986	protein AED:0.44 eAED:0.50 QI:0|0.4|0.33|1|0.6|0.5|6|0|234
WD40-like	transcription factor	Potra2n14c27490.6	IPR001680,IPR017986	protein AED:0.45 eAED:0.45 QI:0|0.5|0.6|1|0.25|0|5|0|204
WD40-like	transcription factor	Potra2n14c27490.7	IPR001680,IPR017986	protein AED:0.45 eAED:0.57 QI:0|0.25|0.4|1|0.5|0.6|5|0|190
AUX-IAA	transcription factor interactor and regulator	Potra2n18c32157.1	IPR011525	protein AED:0.04 eAED:0.04 QI:660|1|1|1|0.75|0.6|5|440|234
WD40-like	transcription factor	Potra2n14c27490.9	IPR001680,IPR017986	protein AED:0.45 eAED:0.45 QI:0|0.75|0.6|1|0.25|0.2|5|13|200
AUX-IAA	transcription factor interactor and regulator	Potra2n18c32157.2	IPR011525	protein AED:0.15 eAED:0.15 QI:223|1|1|1|1|1|4|440|234
C2H2	transcription factor	Potra2n14c27513.1	IPR001841,IPR018957	protein AED:0.18 eAED:0.18 QI:207|1|1|1|1|1|3|354|267
WD40-like	transcription factor	Potra2n14c27531.1	IPR001680,IPR017986	protein AED:0.36 eAED:0.36 QI:422|0.75|0.76|1|0.68|0.70|17|360|405
WD40-like	transcription factor	Potra2n14c27531.2	IPR001680,IPR017986	protein AED:0.33 eAED:0.33 QI:422|0.8|0.81|1|0.8|0.87|16|786|415
WD40-like	transcription factor	Potra2n14c27531.3	IPR001680,IPR017986	protein AED:0.34 eAED:0.34 QI:422|0.92|0.93|1|0.92|0.93|15|786|368
WD40-like	transcription factor	Potra2n14c27531.4	IPR001680	protein AED:0.11 eAED:0.11 QI:3931|0.76|0.78|1|0.69|0.57|14|786|254
WD40-like	transcription factor	Potra2n14c27531.5	IPR001680,IPR017986	protein AED:0.43 eAED:0.43 QI:422|0.75|0.77|1|0.75|0.77|9|0|208
HSF-type-DNA-binding	transcription factor	Potra2n14c27529.1	IPR000232	protein AED:0.13 eAED:0.13 QI:870|1|1|1|1|1|2|458|444
bHLH	transcription factor	Potra2n14c27598.1	IPR011598	protein AED:0.17 eAED:0.17 QI:0|0.88|0.8|1|0.77|0.7|10|417|560
bHLH	transcription factor	Potra2n14c27598.2	IPR011598	protein AED:0.13 eAED:0.13 QI:0|0.87|0.77|1|0.87|0.88|9|673|560
bHLH	transcription factor	Potra2n14c27606.1	IPR011598	protein AED:0.41 eAED:0.41 QI:0|-1|0|1|-1|1|1|0|167
bHLH	transcription factor	Potra2n14c27612.1	IPR011598	protein AED:0.30 eAED:0.30 QI:269|1|1|1|0.66|0.57|7|748|342
LisH	transcription factor interactor and regulator	Potra2n18c32155.1	IPR006594,IPR017986	protein AED:0.23 eAED:0.24 QI:193|0.76|0.94|1|0.47|0.38|18|1579|604
WD40-like	transcription factor	Potra2n18c32155.1	IPR006594,IPR017986	protein AED:0.23 eAED:0.24 QI:193|0.76|0.94|1|0.47|0.38|18|1579|604
bHLH	transcription factor	Potra2n14c27612.2	IPR011598	protein AED:0.08 eAED:0.08 QI:3358|1|1|1|0.6|0.33|6|748|69
bHLH	transcription factor	Potra2n14c27612.3	IPR011598	protein AED:0.28 eAED:0.28 QI:547|1|1|1|0.8|0.83|6|748|342
LisH	transcription factor interactor and regulator	Potra2n18c32155.2	IPR006594,IPR017986	protein AED:0.23 eAED:0.23 QI:307|0.75|0.94|1|0.5|0.41|17|1579|604
WD40-like	transcription factor	Potra2n18c32155.2	IPR006594,IPR017986	protein AED:0.23 eAED:0.23 QI:307|0.75|0.94|1|0.5|0.41|17|1579|604
LisH	transcription factor interactor and regulator	Potra2n18c32155.3	IPR006594,IPR017986	protein AED:0.27 eAED:0.28 QI:193|0.73|0.93|1|0.53|0.5|16|1142|604
WD40-like	transcription factor	Potra2n18c32155.3	IPR006594,IPR017986	protein AED:0.27 eAED:0.28 QI:193|0.73|0.93|1|0.53|0.5|16|1142|604
C2H2	transcription factor	Potra2n14c27597.1	IPR000380,IPR001841	protein AED:0.38 eAED:0.41 QI:166|0.63|0.65|1|0.68|0.75|20|271|1024
C2H2	transcription factor	Potra2n14c27597.2	IPR000380,IPR001841	protein AED:0.38 eAED:0.38 QI:166|0.66|0.68|1|0.72|0.78|19|346|983
C2H2	transcription factor	Potra2n14c27597.3	IPR000380,IPR001841	protein AED:0.39 eAED:0.39 QI:166|0.66|0.73|1|0.72|0.73|19|271|945
LisH	transcription factor interactor and regulator	Potra2n18c32155.4	IPR006594,IPR017986	protein AED:0.26 eAED:0.27 QI:307|0.71|0.93|1|0.57|0.53|15|1142|604
WD40-like	transcription factor	Potra2n18c32155.4	IPR006594,IPR017986	protein AED:0.26 eAED:0.27 QI:307|0.71|0.93|1|0.57|0.53|15|1142|604
C2H2	transcription factor	Potra2n14c27597.4	IPR000380,IPR001841	protein AED:0.39 eAED:0.38 QI:166|0.64|0.72|1|0.76|0.83|18|346|945
Homobox-WOX	transcription factor	Potra2n14c27625.2	IPR001356,IPR002913,IPR009057	protein AED:0.11 eAED:0.11 QI:943|0.84|0.85|1|0.69|0.57|14|456|741
HD-SAD	transcription factor & lipid binding	Potra2n14c27625.2	IPR001356,IPR002913,IPR009057	protein AED:0.11 eAED:0.11 QI:943|0.84|0.85|1|0.69|0.57|14|456|741
Homobox-WOX	transcription factor	Potra2n14c27625.4	IPR001356,IPR002913,IPR009057	protein AED:0.06 eAED:0.06 QI:1536|0.83|0.84|1|0.75|0.61|13|456|705
HD-SAD	transcription factor & lipid binding	Potra2n14c27625.4	IPR001356,IPR002913,IPR009057	protein AED:0.06 eAED:0.06 QI:1536|0.83|0.84|1|0.75|0.61|13|456|705
Homobox-WOX	transcription factor	Potra2n14c27625.5	IPR001356,IPR002913,IPR009057	protein AED:0.03 eAED:0.03 QI:1665|0.81|0.83|1|0.81|0.66|12|557|705
HD-SAD	transcription factor & lipid binding	Potra2n14c27625.5	IPR001356,IPR002913,IPR009057	protein AED:0.03 eAED:0.03 QI:1665|0.81|0.83|1|0.81|0.66|12|557|705
LisH	transcription factor interactor and regulator	Potra2n18c32155.5	IPR006594	protein AED:0.36 eAED:0.38 QI:193|0.76|0.92|1|0.46|0.42|14|184|488
LisH	transcription factor interactor and regulator	Potra2n18c32155.6	IPR006594	protein AED:0.35 eAED:0.37 QI:307|0.75|0.92|1|0.5|0.46|13|184|488
C2H2	transcription factor	Potra2n14c27566.1	IPR001841,IPR017907,IPR018957	protein AED:0.24 eAED:0.24 QI:81|0.8|0.90|1|0.9|0.90|11|553|757
C2H2	transcription factor	Potra2n14c27566.2	IPR001841,IPR017907,IPR018957	protein AED:0.16 eAED:0.16 QI:81|0.75|0.88|1|1|0.88|9|1798|657
C2H2	transcription factor	Potra2n14c27566.3	IPR001841,IPR017907,IPR018957	protein AED:0.16 eAED:0.16 QI:83|1|1|1|0.87|0.88|9|2140|510
C2H2	transcription factor	Potra2n14c27566.5	IPR001841,IPR017907,IPR018957	protein AED:0.11 eAED:0.11 QI:81|1|1|1|1|0.85|7|2736|510
C2H2	transcription factor	Potra2n14c27573.1	IPR007087,IPR015880	protein AED:0.16 eAED:0.16 QI:60|0.75|0.6|1|1|1|5|273|1171
FYR	chromatin remodeling & transcription regulator	Potra2n14c27576.1	IPR000313,IPR001214,IPR001965,IPR003888,IPR003889,IPR011011,IPR019786,IPR019787	protein AED:0.23 eAED:0.23 QI:0|0.88|0.84|1|0.88|0.80|26|537|1035
FYR	chromatin remodeling & transcription regulator	Potra2n14c27576.2	IPR000313,IPR001214,IPR001965,IPR003888,IPR003889,IPR011011,IPR019786,IPR019787	protein AED:0.19 eAED:0.19 QI:341|0.91|0.92|1|0.95|0.92|25|537|1102
FYR	chromatin remodeling & transcription regulator	Potra2n14c27576.3	IPR000313,IPR001214,IPR001965,IPR003888,IPR003889,IPR011011,IPR019786,IPR019787	protein AED:0.19 eAED:0.19 QI:341|0.91|0.92|1|0.91|0.88|25|537|1086
SET	chromatin remodeling	Potra2n14c27554.2	IPR001214	protein AED:0.20 eAED:0.20 QI:189|0.93|0.93|1|0.86|0.81|16|412|695
SET	chromatin remodeling	Potra2n14c27554.3	IPR001214	protein AED:0.21 eAED:0.21 QI:61|0.92|0.93|1|0.92|0.93|15|412|695
SET	chromatin remodeling	Potra2n14c27554.4	IPR001214	protein AED:0.34 eAED:0.38 QI:0|0.71|0.75|1|0.71|0.75|8|412|349
WD40-like	transcription factor	Potra2n14c27587.1	IPR001680,IPR017986	protein AED:0.30 eAED:0.30 QI:747|1|1|1|0.72|0.66|12|372|443
WD40-like	transcription factor	Potra2n14c27587.2	IPR001680,IPR017986	protein AED:0.35 eAED:0.35 QI:83|1|1|1|0.72|0.58|12|372|443
WD40-like	transcription factor	Potra2n14c27587.4	IPR001680,IPR017986	protein AED:0.33 eAED:0.33 QI:339|0.9|0.90|1|0.7|0.54|11|372|463
WD40-like	transcription factor	Potra2n14c27587.5	IPR001680,IPR017986	protein AED:0.33 eAED:0.33 QI:339|1|1|1|0.8|0.63|11|372|443
WD40-like	transcription factor	Potra2n14c27587.6	IPR001680,IPR017986	protein AED:0.17 eAED:0.17 QI:2535|1|1|1|0.77|0.5|10|372|360
CCHC(Zn)	transcription factor interactor and regulator	Potra2n18c32200.1	IPR001878,IPR006564	protein AED:0.01 eAED:0.01 QI:319|1|1|1|0.33|0.25|4|1196|1038
CCHC(Zn)	transcription factor interactor and regulator	Potra2n18c32200.2	IPR001878,IPR006564	protein AED:0.00 eAED:0.00 QI:355|1|1|1|0.5|0.33|3|1196|1038
C2H2	transcription factor	Potra2n14c27642.1	IPR000330,IPR001841,IPR017907,IPR018957	protein AED:0.22 eAED:0.22 QI:343|1|1|1|0.83|0.78|19|651|839
SNF2	chromatin remodeling	Potra2n14c27642.1	IPR000330,IPR001841,IPR017907,IPR018957	protein AED:0.22 eAED:0.22 QI:343|1|1|1|0.83|0.78|19|651|839
C2H2	transcription factor	Potra2n14c27642.2	IPR000330,IPR001841,IPR017907,IPR018957	protein AED:0.23 eAED:0.23 QI:343|1|1|1|0.94|0.88|18|495|863
SNF2	chromatin remodeling	Potra2n14c27642.2	IPR000330,IPR001841,IPR017907,IPR018957	protein AED:0.23 eAED:0.23 QI:343|1|1|1|0.94|0.88|18|495|863
C2H2	transcription factor	Potra2n14c27642.3	IPR000330,IPR001841,IPR017907,IPR018957	protein AED:0.12 eAED:0.12 QI:343|1|1|1|0.93|0.82|17|1964|820
SNF2	chromatin remodeling	Potra2n14c27642.3	IPR000330,IPR001841,IPR017907,IPR018957	protein AED:0.12 eAED:0.12 QI:343|1|1|1|0.93|0.82|17|1964|820
C2H2	transcription factor	Potra2n14c27642.4	IPR000330,IPR001841,IPR017907,IPR018957	protein AED:0.14 eAED:0.14 QI:343|1|1|1|0.93|0.94|17|1773|820
SNF2	chromatin remodeling	Potra2n14c27642.4	IPR000330,IPR001841,IPR017907,IPR018957	protein AED:0.14 eAED:0.14 QI:343|1|1|1|0.93|0.94|17|1773|820
WRKY	transcription factor	Potra2n14c27647.1	IPR003657	protein AED:0.07 eAED:0.07 QI:426|0.75|0.8|1|1|1|5|377|616
C2H2	transcription factor	Potra2n14c27657.1	IPR015880	protein AED:0.12 eAED:0.12 QI:221|0.25|0.4|1|0.5|0.6|5|610|549
C2H2	transcription factor	Potra2n14c27657.2	IPR015880	protein AED:0.13 eAED:0.13 QI:221|0.66|0.5|1|0.33|0.5|4|610|544
PHD	chromatin regulator	Potra2n14c27663.1	IPR001965,IPR011011,IPR019786,IPR019787	protein AED:0.35 eAED:0.35 QI:79|0.5|0.8|0.8|1|1|5|799|265
PAZ-Argonaute	post-transcriptional gene silencing	Potra2n14c27685.1	IPR003100,IPR012337	protein AED:0.11 eAED:0.11 QI:991|0.90|0.90|1|0.71|0.81|22|988|911
PAZ-Argonaute	post-transcriptional gene silencing	Potra2n14c27685.2	IPR003100,IPR012337	protein AED:0.07 eAED:0.07 QI:991|1|1|1|0.75|0.80|21|1881|761
PAZ-Argonaute	post-transcriptional gene silencing	Potra2n14c27685.3	IPR003100,IPR012337	protein AED:0.12 eAED:0.12 QI:991|0.94|1|1|0.84|0.9|20|988|857
C2H2	transcription factor	Potra2n14c27680.1	IPR001841,IPR018957	protein AED:0.15 eAED:0.22 QI:0|0|0.5|1|0|0.5|2|737|240
C3H	transcription factor	Potra2n14c27687.1	IPR000571	protein AED:0.23 eAED:0.23 QI:661|1|1|1|1|1|7|577|446
C2H2	transcription factor	Potra2n14c27684.1	IPR001680,IPR001841,IPR017907,IPR017986,IPR018957,IPR019775	protein AED:0.09 eAED:0.09 QI:296|1|1|1|1|1|13|675|673
WD40-like	transcription factor	Potra2n14c27684.1	IPR001680,IPR001841,IPR017907,IPR017986,IPR018957,IPR019775	protein AED:0.09 eAED:0.09 QI:296|1|1|1|1|1|13|675|673
Hap3/NF-YB	transcription factor	Potra2n14c27702.1	IPR009072	protein AED:0.25 eAED:0.25 QI:427|0.76|0.85|0.85|1|1|14|292|568
Hap3/NF-YB	transcription factor	Potra2n14c27702.2	IPR009072	protein AED:0.10 eAED:0.10 QI:427|0.75|0.84|0.84|1|0.92|13|2055|373
WRKY	transcription factor	Potra2n14c27731.1	IPR003657	protein AED:0.13 eAED:0.13 QI:848|1|1|1|0.6|0.5|6|402|486
WRKY	transcription factor	Potra2n14c27731.2	IPR003657	protein AED:0.16 eAED:0.16 QI:607|1|1|1|0.6|0.5|6|402|486
WRKY	transcription factor	Potra2n14c27731.3	IPR003657	protein AED:0.18 eAED:0.18 QI:531|1|1|1|0.6|0.33|6|325|486
WRKY	transcription factor	Potra2n14c27731.4	IPR003657	protein AED:0.04 eAED:0.04 QI:1565|1|1|1|0.75|0.6|5|332|486
C3H	transcription factor	Potra2n14c27742.1	IPR000571	protein AED:0.19 eAED:0.19 QI:693|1|1|1|0.85|0.75|8|864|576
C3H	transcription factor	Potra2n14c27742.2	IPR000571	protein AED:0.20 eAED:0.20 QI:589|1|1|1|0.85|0.75|8|864|576
C3H	transcription factor	Potra2n14c27742.3	IPR000571	protein AED:0.22 eAED:0.22 QI:402|1|1|1|0.85|0.75|8|864|576
NAM	transcription factor	Potra2n14c27725.1	IPR003441	protein AED:0.01 eAED:0.01 QI:0|-1|1|1|-1|1|1|0|394
PHD	chromatin regulator	Potra2n14c27736.1	IPR001965	protein AED:0.09 eAED:0.09 QI:244|1|1|1|0.33|0|4|714|586
PHD	chromatin regulator	Potra2n14c27736.2	IPR001965	protein AED:0.03 eAED:0.03 QI:485|1|1|1|0.5|0.33|3|886|586
PHD	chromatin regulator	Potra2n14c27736.3	IPR001965	protein AED:0.05 eAED:0.05 QI:360|1|1|1|1|1|2|886|586
RR-A-type	response regulator and putative novel transcription factor	Potra2n14c27734.3	IPR001789	protein AED:0.23 eAED:0.25 QI:945|0.75|0.76|1|0.62|0.64|17|0|1332
RR-A-type	response regulator and putative novel transcription factor	Potra2n14c27734.4	IPR001789	protein AED:0.23 eAED:0.25 QI:945|0.81|0.76|1|0.81|0.76|17|0|1328
RR-A-type	response regulator and putative novel transcription factor	Potra2n14c27734.5	IPR001789	protein AED:0.23 eAED:0.25 QI:945|0.75|0.64|1|0.75|0.64|17|0|1323
RR-A-type	response regulator and putative novel transcription factor	Potra2n14c27734.7	IPR001789	protein AED:0.23 eAED:0.25 QI:945|0.86|0.81|1|0.73|0.68|16|0|1314
C2H2	transcription factor	Potra2n14c27741.1	IPR001841,IPR017986	protein AED:0.08 eAED:0.08 QI:233|1|1|1|1|1|5|1277|961
WD40-like	transcription factor	Potra2n14c27741.1	IPR001841,IPR017986	protein AED:0.08 eAED:0.08 QI:233|1|1|1|1|1|5|1277|961
ABTB	chromatin remodeling & transcription regulator	Potra2n14c27723.1	IPR000210,IPR002110,IPR011333	protein AED:0.20 eAED:0.20 QI:124|0.62|0.77|1|0.37|0.44|9|1817|631
ABTB	chromatin remodeling & transcription regulator	Potra2n14c27723.2	IPR000210,IPR002110,IPR011333	protein AED:0.23 eAED:0.23 QI:124|0.62|0.77|1|0.37|0.44|9|1450|631
ABTB	chromatin remodeling & transcription regulator	Potra2n14c27723.3	IPR000210,IPR002110,IPR011333	protein AED:0.33 eAED:0.33 QI:124|0.42|0.5|1|0.42|0.5|8|0|681
CCHC(Zn)	transcription factor interactor and regulator	Potra2n18c32207.1	IPR001878	protein AED:0.37 eAED:0.83 QI:0|0|0|1|0.75|0.8|5|0|631
ABTB	chromatin remodeling & transcription regulator	Potra2n14c27723.6	IPR000210,IPR002110,IPR011333	protein AED:0.23 eAED:0.23 QI:124|1|1|1|0.8|0.66|6|1531|585
GRAS	transcription factor	Potra2n14c27732.1	IPR005202	protein AED:0.25 eAED:0.25 QI:475|0.25|0.2|1|0.5|0.4|5|0|641
GRAS	transcription factor	Potra2n14c27732.2	IPR005202	protein AED:0.26 eAED:0.26 QI:280|0.25|0.2|1|0.75|0.8|5|0|671
C2H2	transcription factor	Potra2n18c32201.1	IPR001781,IPR001841	protein AED:0.02 eAED:0.02 QI:1747|1|1|1|1|1|3|752|230
